Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
Fountain,0.05,0,6,0.5179559588432312,84148.61496109457,1.3377310422972684,0.7986930012702942
Fountain,0.05,1,7,0.435442715883255,76558.08171646042,1.5036533283189042,0.8316342234611511
Fountain,0.05,2,8,0.44526562094688416,70315.16617328044,1.4781960084506574,0.8341378569602966
Fountain,0.05,3,8,0.4431534707546234,70128.42132293014,1.4772837175996978,0.8338835835456848
Fountain,0.05,4,8,0.44356802105903625,70111.51195973801,1.478017221186295,0.8338742256164551
Fountain,0.05,5,6,0.5178706049919128,84126.46640789162,1.3378079052377903,0.7986596822738647
Fountain,0.05,6,7,0.4353902041912079,76484.37456382484,1.5048913434490512,0.8316070437431335
Fountain,0.05,7,7,0.4354669749736786,76492.9758906963,1.504768773087241,0.8316375613212585
Fountain,0.05,8,8,0.4429473578929901,70132.17311608433,1.477313807790471,0.8338280916213989
Fountain,0.05,9,8,0.44304510951042175,70123.07258443098,1.4772567774031788,0.8338526487350464
PARE_wolasso,0.05,0,4,-0.20934347808361053,23053.593894839574,2.809772493012943,0.6051638126373291
PARE_wolasso,0.05,1,4,-0.29455995559692383,22771.550286479418,2.6734134277213273,0.5904130935668945
PARE_wolasso,0.05,2,4,-0.02208787202835083,23678.511173702285,3.299898359579704,0.6054303050041199
PARE_wolasso,0.05,3,4,-0.023101570084691048,23766.567350746845,3.166327289446317,0.6171352863311768
PARE_wolasso,0.05,4,4,-0.021136021241545677,23682.8982976046,3.2507514936377957,0.6051597595214844
PARE_wolasso,0.05,5,4,-0.2910543382167816,22594.730092311038,2.738115760995403,0.5774052739143372
PARE_wolasso,0.05,6,4,-0.15525604784488678,23432.002981568025,2.857539227536908,0.6095774173736572
PARE_wolasso,0.05,7,4,-0.1629546731710434,23405.45499227588,2.8289131427288696,0.6190242767333984
PARE_wolasso,0.05,8,4,-0.02114473469555378,23857.505747800027,3.1711854359785248,0.6170324087142944
PARE_wolasso,0.05,9,4,-0.24848642945289612,22838.382657709564,2.7699058690925646,0.5945936441421509
PARE,0.05,0,10,0.7479375600814819,276655.89773366624,0.6179650877547098,0.8475470542907715
PARE,0.05,1,9,0.811431884765625,314500.2900503957,0.49112516692740216,0.8431159853935242
PARE,0.05,2,9,0.8093740344047546,309814.72628493805,0.49016358526791254,0.8421539068222046
PARE,0.05,3,9,0.8115867376327515,311901.538548327,0.488573678816475,0.8427523970603943
PARE,0.05,4,9,0.8139969110488892,320996.9571954849,0.48875539008089813,0.8429721593856812
PARE,0.05,5,10,0.765949547290802,285195.3893016748,0.6120319461327727,0.8479622602462769
PARE,0.05,6,9,0.8133866786956787,318516.174377797,0.4886776695380852,0.8424353003501892
PARE,0.05,7,9,0.805817186832428,312799.8612324006,0.49895062171798865,0.8431999683380127
PARE,0.05,8,9,0.8068022727966309,315773.22620639583,0.49499994746022125,0.8421476483345032
PARE,0.05,9,9,0.7980712056159973,299818.7078767277,0.5117611958089207,0.8432836532592773
Fountain,0.1,0,9,0.4113946259021759,64709.85650275972,1.6200490759838093,0.8410882949829102
Fountain,0.1,1,9,0.41093742847442627,64676.158689813856,1.6196477722454241,0.8408846855163574
Fountain,0.1,2,9,0.4110177755355835,64692.24001504615,1.619553549742279,0.8409046530723572
Fountain,0.1,3,9,0.40966421365737915,64794.36843914097,1.6242523620665308,0.8417223691940308
Fountain,0.1,4,9,0.41089266538619995,64673.328719431585,1.6196514135382651,0.8408718705177307
Fountain,0.1,5,9,0.4094993472099304,64805.137663118774,1.6238032404526974,0.8417335152626038
Fountain,0.1,6,8,0.44311627745628357,70732.00199598087,1.4695779728414775,0.8342293500900269
Fountain,0.1,7,9,0.4125440716743469,64705.400669998206,1.6190591743034444,0.8408874273300171
Fountain,0.1,8,9,0.4094586670398712,64804.82556325189,1.6241608789540807,0.8417750000953674
Fountain,0.1,9,9,0.4191206395626068,64825.70291448893,1.6199387675456662,0.8415293097496033
PARE_wolasso,0.1,0,6,-0.1416809856891632,16408.331161270606,3.816240458372173,0.6160839796066284
PARE_wolasso,0.1,1,6,-0.20634762942790985,15963.455408387723,3.97611463081905,0.6136844158172607
PARE_wolasso,0.1,2,6,-0.23304001986980438,15787.506450311677,3.3108655702170595,0.6196686029434204
PARE_wolasso,0.1,3,6,-0.18004223704338074,16317.600949034086,3.5408241331505415,0.6254268884658813
PARE_wolasso,0.1,4,6,-0.2265971451997757,16488.646398438123,3.299149820641631,0.6265658736228943
PARE_wolasso,0.1,5,6,-0.2047208696603775,16441.465331907417,3.2857955020160343,0.6359752416610718
PARE_wolasso,0.1,6,6,-0.20933543145656586,16227.88273854693,3.6399023583331975,0.6159937977790833
PARE_wolasso,0.1,7,6,-0.19142182171344757,16101.204346684954,4.147461696213611,0.6064876317977905
PARE_wolasso,0.1,8,6,-0.13445132970809937,16220.51717911632,3.775449682034022,0.6160647869110107
PARE_wolasso,0.1,9,6,-0.27185121178627014,16013.55035010111,3.6516219834758044,0.6148405075073242
PARE,0.1,0,13,0.5325055122375488,249539.10194058387,0.9497284363739354,0.8568119406700134
PARE,0.1,1,12,0.5714991092681885,260556.40362815835,0.8827512756473607,0.850949764251709
PARE,0.1,2,13,0.534734308719635,245857.5946572709,0.9483956400982397,0.8564993143081665
PARE,0.1,3,13,0.5148285031318665,244465.42833869453,0.9471403338378638,0.8496650457382202
PARE,0.1,4,12,0.54439777135849,246475.74725569107,0.9615886923667497,0.8563293218612671
PARE,0.1,5,12,0.5078160166740417,246245.80936061815,0.9502561361094028,0.8534895777702332
PARE,0.1,6,11,0.5569912791252136,263211.5222790222,0.8901837694182053,0.8445584774017334
PARE,0.1,7,12,0.5871875882148743,261550.57429541115,0.8784793536095257,0.848502516746521
PARE,0.1,8,13,0.5032065510749817,245937.61877949085,0.9449158576609092,0.8526307344436646
PARE,0.1,9,12,0.5283554792404175,249836.8953924974,0.9441593469911299,0.8513124585151672
Fountain,0.2,0,12,0.3486643433570862,51403.50784561772,1.626401904344555,0.8481175303459167
Fountain,0.2,1,11,0.37215498089790344,55693.75553952085,1.615234801476699,0.8455207347869873
Fountain,0.2,2,11,0.37098583579063416,55562.41418576833,1.6151433634431491,0.8451977968215942
Fountain,0.2,3,12,0.3488727807998657,51851.21140742116,1.6915413094643938,0.8518744111061096
Fountain,0.2,4,12,0.35584813356399536,51749.47861042673,1.6879978035977266,0.8513805866241455
Fountain,0.2,5,11,0.36412501335144043,55797.84746670871,1.6172968424826104,0.8456825017929077
Fountain,0.2,6,11,0.3723854124546051,55670.38866019401,1.6154490607249234,0.8455223441123962
Fountain,0.2,7,11,0.36452144384384155,55830.797167055316,1.616464418761982,0.8457497358322144
Fountain,0.2,8,12,0.3481593132019043,51788.09506815751,1.6910857662514942,0.8511384129524231
Fountain,0.2,9,12,0.34888583421707153,51871.237539397385,1.6908386727574305,0.8515995740890503
PARE_wolasso,0.2,0,9,-0.19263428449630737,13548.606940993159,3.8810242079406225,0.642119288444519
PARE_wolasso,0.2,1,9,-0.18488380312919617,13546.803560279019,3.9830626943125003,0.645488440990448
PARE_wolasso,0.2,2,7,-0.1363126039505005,14756.504875966666,3.6855937337094384,0.6324516534805298
PARE_wolasso,0.2,3,10,-0.19760853052139282,11907.410978798987,4.472308222239502,0.6244693994522095
PARE_wolasso,0.2,4,10,-0.2518787384033203,12093.771835281412,4.1078115850412775,0.6367627382278442
PARE_wolasso,0.2,5,10,-0.19489091634750366,12156.260925449289,3.663714617656481,0.6576650142669678
PARE_wolasso,0.2,6,11,-0.2241966724395752,10891.972107382468,4.74907189916227,0.6072037220001221
PARE_wolasso,0.2,7,10,-0.2306988686323166,12118.67484540705,4.573701466676982,0.6270774602890015
PARE_wolasso,0.2,8,11,-0.2446928769350052,10950.539518648215,4.194305486850137,0.6239756345748901
PARE_wolasso,0.2,9,10,-0.19350884854793549,11126.243764495443,4.47313312036796,0.6123389005661011
PARE,0.2,0,17,0.5340983271598816,228670.49340905217,1.2261417023579668,0.8593093156814575
PARE,0.2,1,16,0.5457773804664612,235799.48850021948,1.1356596322274994,0.8549157977104187
PARE,0.2,2,15,0.5256259441375732,243521.3898637167,1.1418566390447509,0.8526390790939331
PARE,0.2,3,16,0.5206515192985535,224787.99982999125,1.2789222917874206,0.8576488494873047
PARE,0.2,4,13,0.5283467173576355,243470.89929482862,0.9427517074884582,0.8523731231689453
PARE,0.2,5,17,0.5075504183769226,221900.05749352218,1.2597123903354484,0.8436040878295898
PARE,0.2,6,18,0.5185719728469849,236559.66769171917,1.1490695687348027,0.8561080098152161
PARE,0.2,7,16,0.5451013445854187,247280.306998732,1.010996205171387,0.855472207069397
PARE,0.2,8,18,0.2999098598957062,186974.3731169843,1.5556832714827518,0.8329578042030334
PARE,0.2,9,17,0.4895768463611603,218759.04788885888,1.2526400178003432,0.8437505960464478
Fountain,0.5,0,15,0.2908162772655487,42849.523921187094,1.984477909392056,0.8579316139221191
Fountain,0.5,1,14,0.3340233266353607,45681.06427516032,1.811163376194511,0.8580570816993713
Fountain,0.5,2,15,0.29102951288223267,42838.45581090586,1.9863312015354633,0.8579577207565308
Fountain,0.5,3,15,0.3190237879753113,42812.73482358515,1.8831658049386635,0.8584367036819458
Fountain,0.5,4,15,0.3215176463127136,42836.468829568796,1.8847581309956387,0.8582074046134949
Fountain,0.5,5,15,0.3225313127040863,42878.57947597334,1.907627734522679,0.858745813369751
Fountain,0.5,6,14,0.3346155881881714,45666.276805930815,1.8112200475990854,0.8581037521362305
Fountain,0.5,7,15,0.3197198212146759,42796.3309752167,1.8770202135989251,0.8577370643615723
Fountain,0.5,8,14,0.3060961961746216,45633.26967295557,1.9589296758292718,0.8574405312538147
Fountain,0.5,9,14,0.3082899749279022,45688.74920163423,1.9246944438802263,0.8570550084114075
PARE_wolasso,0.5,0,24,-0.19163329899311066,7414.318674375047,4.560371467033092,0.5849533081054688
PARE_wolasso,0.5,1,21,-0.16833539307117462,8219.508516693175,3.8651552782062106,0.6285878419876099
PARE_wolasso,0.5,2,27,-0.1917833536863327,6439.632676726254,4.835341969056704,0.5585353970527649
PARE_wolasso,0.5,3,22,-0.1920367032289505,7777.540057059867,4.090405558997815,0.5922355055809021
PARE_wolasso,0.5,4,25,-0.18970417976379395,7143.151993413168,4.625643499074492,0.5812867283821106
PARE_wolasso,0.5,5,25,-0.17938637733459473,7495.419577724718,4.627116773107587,0.5906426906585693
PARE_wolasso,0.5,6,23,-0.1908807009458542,7703.06181005213,4.417999349246685,0.5921057462692261
PARE_wolasso,0.5,7,25,-0.1978134959936142,7296.148414382209,4.465947037991527,0.5867953896522522
PARE_wolasso,0.5,8,27,-0.1983995884656906,6750.644390029713,4.288377991941864,0.599686861038208
PARE_wolasso,0.5,9,23,-0.1820489764213562,7969.236006306856,3.7785348433419785,0.634079098701477
PARE,0.5,0,29,0.30096033215522766,158782.19208334683,1.5019310448241876,0.8218183517456055
PARE,0.5,1,27,0.3417922854423523,165637.72275543015,1.5761038513665406,0.8252058029174805
PARE,0.5,2,23,0.20692652463912964,147728.3937874383,2.2551099186419377,0.7970238327980042
PARE,0.5,3,24,0.3649864196777344,186265.20617618403,1.7339062421278841,0.835209310054779
PARE,0.5,4,27,0.2391805201768875,166199.2914092496,1.7606774730196917,0.8047661185264587
PARE,0.5,5,26,0.3343052566051483,170745.99245873452,1.6488284823778325,0.8222593665122986
PARE,0.5,6,28,0.31602662801742554,163180.74770436998,1.562145725335288,0.8283101916313171
PARE,0.5,7,28,0.32586562633514404,166031.6038970973,1.602019650376933,0.8208190202713013
PARE,0.5,8,23,0.34275946021080017,178317.25142750214,1.5445501267555866,0.8328284621238708
PARE,0.5,9,24,0.32542121410369873,187336.80804136215,1.622746721405593,0.8222829103469849
Fountain,0.8,0,16,0.2744206488132477,41455.0088547636,1.9314200982400176,0.8579332828521729
Fountain,0.8,1,18,0.2693920135498047,36992.05984647586,1.990601275326734,0.8579128980636597
Fountain,0.8,2,17,0.2741678059101105,39043.00851458211,1.9276774575617335,0.8579508662223816
Fountain,0.8,3,16,0.2748059630393982,41492.01775097115,1.9293107463688095,0.8580656051635742
Fountain,0.8,4,17,0.2728773355484009,39022.260198647535,1.923072934698072,0.8582276701927185
Fountain,0.8,5,16,0.27550584077835083,41550.02461384774,1.96273340767033,0.8581412434577942
Fountain,0.8,6,16,0.2768583297729492,41519.91036955218,1.9326229836964768,0.8581975698471069
Fountain,0.8,7,17,0.2718225419521332,39028.69762800657,1.9233289411258851,0.8580262064933777
Fountain,0.8,8,15,0.3090580105781555,41227.567298272326,1.9042985199225535,0.8574914932250977
Fountain,0.8,9,17,0.27498525381088257,39072.91425083569,1.9297783018887291,0.8584965467453003
PARE_wolasso,0.8,0,32,-0.20252324640750885,6296.479686977412,4.392057337506242,0.559168815612793
PARE_wolasso,0.8,1,30,-0.1963270902633667,6273.746916628848,4.345848014271021,0.5918468832969666
PARE_wolasso,0.8,2,28,-0.19745787978172302,6690.938576404838,4.704283289997761,0.588965892791748
PARE_wolasso,0.8,3,31,-0.18356531858444214,6619.9408955710915,4.563139715172196,0.5900595188140869
PARE_wolasso,0.8,4,32,-0.21016252040863037,5904.948087244961,5.296204875208354,0.5587778687477112
PARE_wolasso,0.8,5,32,-0.20203723013401031,6426.726604647651,4.436150691500011,0.5726017355918884
PARE_wolasso,0.8,6,28,-0.20093801617622375,6154.088178994029,5.3665061059465815,0.565575361251831
PARE_wolasso,0.8,7,29,-0.22128599882125854,6342.630979322812,5.263742816820898,0.5689359307289124
PARE_wolasso,0.8,8,31,-0.19824433326721191,6471.148075655477,4.649607274574762,0.5506289601325989
PARE_wolasso,0.8,9,30,-0.19268788397312164,6591.760736739019,4.569635210043218,0.5729622840881348
PARE,0.8,0,30,0.21345214545726776,136026.0866905123,2.0457739204175795,0.7817531228065491
PARE,0.8,1,35,0.2004675567150116,147653.7515482702,1.713887888652511,0.7905911207199097
PARE,0.8,2,34,0.1972508728504181,137606.47618084768,1.8477993879173844,0.7807649970054626
PARE,0.8,7,34,0.2070656567811966,136141.96473416538,1.8740428058504768,0.7802788615226746
PARE,0.8,8,35,0.23279130458831787,148867.00202232736,1.6733641546572438,0.7929485440254211
Fountain,1.0,0,21,0.20334121584892273,32828.034365133,2.117289668439205,0.8575391173362732
Fountain,1.0,1,20,0.20810958743095398,34446.86686376712,2.133929212816404,0.8574691414833069
Fountain,1.0,2,21,0.2031828910112381,32826.38378151488,2.1232590436012186,0.8571679592132568
Fountain,1.0,3,20,0.206012561917305,34444.71429365923,2.128701213550615,0.8576548099517822
Fountain,1.0,4,20,0.1995488852262497,34468.77337574247,2.1733844495929513,0.8565434217453003
Fountain,1.0,5,18,0.2594456672668457,37035.754136818396,2.0877278861303106,0.857609212398529
Fountain,1.0,6,19,0.21876934170722961,36173.77419548311,2.047943282522116,0.8573466539382935
Fountain,1.0,7,18,0.26209768652915955,37075.22380527856,2.112811446930007,0.858098030090332
Fountain,1.0,8,18,0.2511557638645172,37022.441936647345,2.14171354347745,0.8564735054969788
Fountain,1.0,9,19,0.25536224246025085,35213.0639015321,2.1210713600373547,0.8579212427139282
Fountain,1.2,0,23,0.1455552577972412,31018.21696382442,2.329967083915189,0.8430602550506592
Fountain,1.2,1,21,0.19501367211341858,33509.87324358174,2.2179400145841304,0.8535598516464233
Fountain,1.2,2,22,0.15744876861572266,31732.552525007268,2.2890405223913564,0.8444372415542603
Fountain,1.2,3,22,0.15078099071979523,31581.51614627916,2.29169259062761,0.8444007039070129
Fountain,1.2,4,23,0.16238048672676086,31582.991743674473,2.187528119000911,0.8426944613456726
Fountain,1.2,5,21,0.1540372222661972,33518.55916910885,2.3411067265622387,0.8385995626449585
Fountain,1.2,6,21,0.1539137363433838,33507.06727311534,2.3448032422150633,0.8370317816734314
Fountain,1.2,7,21,0.15353192389011383,33490.78303822576,2.3390203399672913,0.8386581540107727
Fountain,1.2,8,22,0.14959664642810822,31565.084453996107,2.2971058014901056,0.8439857363700867
Fountain,1.2,9,22,0.16258203983306885,32149.288503165557,2.3434279393382327,0.8391494750976562
Fountain,1.5,0,27,0.10877655446529388,27832.514499408862,2.4390318711390906,0.8270459175109863
Fountain,1.5,1,28,0.12295093387365341,27746.436954445537,2.379565834730001,0.8257508277893066
Fountain,1.5,2,27,0.11772972345352173,27554.887704910558,2.4158818636199904,0.8299340009689331
Fountain,1.5,3,28,0.14734527468681335,27512.186492346013,2.4185771561235976,0.8362371921539307
Fountain,1.5,4,28,0.11908283084630966,27424.2271082147,2.4434082669767414,0.8266034126281738
Fountain,1.5,5,29,0.11648762226104736,26380.5351745812,2.395491548316274,0.8306857943534851
Fountain,1.5,6,27,0.14238791167736053,27610.95491289861,2.3872302346079795,0.8316540122032166
Fountain,1.5,7,29,0.12135642766952515,26501.15659245927,2.419207388581664,0.8255779147148132
Fountain,1.5,8,28,0.11439526081085205,27179.340495154192,2.4649600792192445,0.8304946422576904
Fountain,1.5,9,28,0.1448122262954712,27180.6462231435,2.34525150856627,0.8319029808044434
