Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
scVI,0.05,1,2,0.018341543152928352,1554.1317149383087,1.4201670709674756,0.025955859571695328
scVI,0.05,2,2,0.018295306712388992,1550.4629126573395,1.419974384634651,0.02586316131055355
scVI,0.05,3,2,0.018204862251877785,1550.6103697382628,1.4162548130858927,0.025863206014037132
scVI,0.05,4,2,0.018341543152928352,1554.1317149383087,1.4201670709674756,0.025954488664865494
scVI,0.05,5,2,0.01813073270022869,1547.9589716871008,1.4150531002774231,0.025801435112953186
scVI,0.05,6,2,0.01813073270022869,1547.9589716871008,1.4150531002774231,0.025806739926338196
scVI,0.05,7,2,0.017508070915937424,1551.9278340025205,1.4194189607331467,0.025914695113897324
scVI,0.05,8,2,0.0181902889162302,1549.838952115815,1.4160285501561474,0.025852367281913757
scVI,0.05,9,2,0.018327031284570694,1553.3607436071516,1.419943177236756,0.025947824120521545
scFoundation,0.05,5,2,0.2665696144104004,2286.3345451245195,1.2762110995526363,0.02187630534172058
scFoundation,0.05,7,2,0.26660311222076416,2285.432312958292,1.2759309286634195,0.021858660504221916
scNET,0.05,0,4,0.3704638183116913,44756.040842199516,1.996850918807582,0.6752910017967224
scNET,0.05,1,4,0.3606290817260742,43753.575860959536,2.0052503512261834,0.6724423766136169
scNET,0.05,2,4,0.24296128749847412,36099.65860480237,2.053830692965872,0.6000449061393738
scNET,0.05,3,4,0.44378137588500977,48739.83168698916,1.899109542333525,0.6805137395858765
scNET,0.05,4,4,0.4420014023780823,48607.6835432089,1.9052441974087717,0.6803205013275146
scNET,0.05,5,4,0.3705330789089203,44865.676801438334,2.062881163463796,0.6708178520202637
scNET,0.05,6,4,0.18466529250144958,30768.556778847356,2.0585043350121532,0.5664384365081787
scNET,0.05,7,4,0.37125518918037415,44765.13888968272,1.9995456765812278,0.6760748028755188
scNET,0.05,8,3,0.3598864674568176,37899.39056908199,2.3944469525225123,0.5196064710617065
scNET,0.05,9,4,0.43938103318214417,48467.003929456136,1.9322115911854114,0.678948700428009
PARE_wolasso,0.05,0,10,0.9066295623779297,336448.53793885745,0.29816600911085933,0.8850353956222534
PARE_wolasso,0.05,1,10,0.9034746885299683,304788.49145526707,0.3206974177995444,0.885032057762146
PARE_wolasso,0.05,2,10,0.909424901008606,330471.3657607969,0.3045402920576154,0.8847581148147583
PARE_wolasso,0.05,3,10,0.9092124700546265,328146.8655145614,0.303116005465232,0.8847627639770508
PARE_wolasso,0.05,4,10,0.9060423374176025,324093.3640567003,0.30726081200856126,0.8846986293792725
PARE_wolasso,0.05,5,10,0.913447380065918,347160.506619027,0.29790636430876016,0.8850133419036865
PARE_wolasso,0.05,6,10,0.9109218716621399,346620.931775436,0.29321980926151514,0.8848521709442139
PARE_wolasso,0.05,7,8,0.7256028652191162,115870.133108412,0.6681352957450822,0.8570693731307983
PARE_wolasso,0.05,8,10,0.9078484773635864,319471.55072921177,0.3068197412798945,0.8847794532775879
PARE_wolasso,0.05,9,10,0.9001085758209229,303290.95126958215,0.3127338157435816,0.884757399559021
PARE,0.05,0,10,0.9179268479347229,419085.85742775584,0.24215880476557916,0.885269284248352
PARE,0.05,1,10,0.9109602570533752,396519.51690086536,0.24581837147146754,0.8848346471786499
PARE,0.05,2,10,0.9194591641426086,435893.34886490094,0.23942066117335248,0.8853592276573181
PARE,0.05,3,10,0.9192784428596497,425256.501714423,0.23882006130437589,0.8855751752853394
PARE,0.05,4,10,0.9106177091598511,380497.56177513924,0.25544880512822293,0.8847947716712952
PARE,0.05,5,10,0.9206288456916809,450320.0028371405,0.24035944247345128,0.8853613138198853
PARE,0.05,6,10,0.9172619581222534,399898.2313385405,0.2439769296178695,0.8853812217712402
PARE,0.05,7,10,0.9114453792572021,381828.11792196194,0.24780727460065427,0.8849862813949585
PARE,0.05,8,10,0.9136624932289124,411866.22509119613,0.24654944831958706,0.8850259780883789
PARE,0.05,9,10,0.9192403554916382,438051.78774039383,0.2416333568474185,0.8851410746574402
scVI,0.1,0,4,-0.02837366983294487,4499.923745312166,2.4594283492886024,0.3750699758529663
scVI,0.1,1,3,0.013811673037707806,6612.966705043673,2.6897988740612386,0.4669341742992401
scVI,0.1,2,3,0.01922610029578209,7185.872982434285,2.322806959393654,0.38560447096824646
scVI,0.1,3,4,-0.007415750529617071,5869.864084791878,2.3566193735827667,0.4614163637161255
scVI,0.1,4,2,0.14342203736305237,11834.565762138742,3.23253803369295,0.4403482675552368
scVI,0.1,5,2,0.10747512429952621,7121.942241426473,3.2337321732350217,0.2797490060329437
scVI,0.1,6,3,0.01657124236226082,6707.047801681581,2.6714098094546848,0.4678152799606323
scVI,0.1,7,5,-0.03237636387348175,5081.524843155561,2.2755631806061776,0.5078700184822083
scVI,0.1,8,4,0.04379463195800781,6698.210572347188,2.5844212884593025,0.5048986673355103
scVI,0.1,9,4,0.020391302183270454,6091.1893447185785,2.643098304866784,0.5100866556167603
scFoundation,0.1,0,3,0.2057228982448578,15372.84327376315,1.6623340638748771,0.4308074116706848
scFoundation,0.1,1,3,0.20346850156784058,15374.429364592024,1.640268735142062,0.42980527877807617
scFoundation,0.1,2,3,0.2057531177997589,15363.333273320019,1.663833295637245,0.43113067746162415
scFoundation,0.1,3,2,0.22527825832366943,26563.230382741574,1.9199066283467838,0.416024386882782
scFoundation,0.1,4,3,0.20611901581287384,15385.486209439223,1.6635636625662664,0.4314248263835907
scFoundation,0.1,5,3,0.20541127026081085,15340.548613648194,1.6638112938834846,0.4311016798019409
scFoundation,0.1,6,3,0.206206277012825,15395.220126636605,1.6634294293987353,0.4314805567264557
scFoundation,0.1,7,2,0.23262369632720947,27238.773865961797,1.9234759956809635,0.42191624641418457
scFoundation,0.1,8,3,0.2123892605304718,15770.86112391702,1.671972116792981,0.4378244876861572
scFoundation,0.1,9,3,0.20414865016937256,15405.476013579382,1.6510985192124614,0.4307233989238739
scNET,0.1,0,4,0.4186728000640869,46781.41321843744,1.940416755505561,0.6805088520050049
scNET,0.1,1,7,0.23761297762393951,34655.494742487295,1.7191005207124703,0.768090546131134
scNET,0.1,2,7,0.1814602017402649,32759.77365814267,1.7818943868216193,0.7600093483924866
scNET,0.1,3,6,0.29622337222099304,37389.17985685996,1.8091474617055765,0.736595869064331
scNET,0.1,4,5,0.22264716029167175,33892.885217737035,2.081029633909908,0.7035982012748718
scNET,0.1,5,6,0.2813819348812103,35055.43541362595,1.829421685435862,0.7304092645645142
scNET,0.1,6,6,0.27192237973213196,33700.223748001474,1.783084456200321,0.727206289768219
scNET,0.1,7,6,0.1904531717300415,36201.78159516474,1.7981105825044519,0.7510182857513428
