Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
cellLens_Lite,0.05,0,4,0.12197548151016235,2820.9654895629405,1.844213360997779,0.6135257482528687
cellLens_Lite,0.05,1,4,0.12384743988513947,2701.883698007726,1.8436271418197638,0.6066250801086426
cellLens_Lite,0.05,2,4,0.12138902395963669,2666.4044641432074,1.85474169088987,0.604117751121521
cellLens_Lite,0.05,3,4,0.12709303200244904,2726.956615688609,1.83896434711289,0.6105210185050964
cellLens_Lite,0.05,4,4,0.12152887135744095,2818.170670417632,1.8481118395281837,0.6145030856132507
cellLens_Lite,0.05,5,4,0.12455815076828003,2690.9892401909324,1.8492242490392763,0.6081476211547852
cellLens_Lite,0.05,6,4,0.1252213567495346,2693.135517496287,1.8498247854320262,0.6079416275024414
cellLens_Lite,0.05,7,5,0.15631909668445587,2953.7822126719366,1.8039192291051933,0.6760163903236389
cellLens_Lite,0.05,8,4,0.12357638776302338,2676.727350587965,1.8525691824157202,0.6065579652786255
cellLens_Lite,0.05,9,4,0.12345768511295319,2682.457604982115,1.8516891425549256,0.6069265007972717
cellLens_Full,0.05,0,3,0.2673358619213104,4517.685196992016,2.340059161505629,0.6387118101119995
cellLens_Full,0.05,1,3,0.35450196266174316,7237.109670016921,1.6883880617685418,0.6159871220588684
cellLens_Full,0.05,2,4,0.36289018392562866,6220.038383847121,1.4793348982742134,0.6497681736946106
cellLens_Full,0.05,3,3,0.3651004433631897,7131.734351849193,1.6103027249715485,0.5881059169769287
cellLens_Full,0.05,4,3,0.35303571820259094,7256.606401582886,1.686411416269183,0.6131098866462708
cellLens_Full,0.05,5,3,0.34821179509162903,7242.81398193786,1.6701094915269377,0.6076340675354004
cellLens_Full,0.05,6,3,0.3512609601020813,7209.64389114262,1.7006896386493884,0.6145163774490356
cellLens_Full,0.05,7,6,0.4554821848869324,7353.540245829521,1.3156489840621084,0.7603530883789062
cellLens_Full,0.05,8,7,0.48102477192878723,7811.938573715856,1.195234633919064,0.7912968397140503
cellLens_Full,0.05,9,4,0.3841632008552551,7190.893692454669,1.5943727762811568,0.7077783942222595
PARE,0.05,0,10,0.9112610220909119,148581.34281443644,0.3150722704817338,0.8850975632667542
PARE,0.05,1,10,0.9156854748725891,155652.52774770712,0.3097484071020148,0.8854027390480042
PARE,0.05,2,10,0.913610577583313,151960.1415909369,0.31008848451034254,0.8850915431976318
PARE,0.05,3,10,0.9109215140342712,150961.8125071129,0.30926969956788686,0.885318398475647
PARE,0.05,4,10,0.916888415813446,158430.68690305873,0.3050736144436209,0.8853121995925903
PARE,0.05,5,10,0.9130701422691345,151033.3536131704,0.3118396095991082,0.8851397633552551
PARE,0.05,6,10,0.9111719727516174,148862.4416259792,0.31261748507605985,0.8851461410522461
PARE,0.05,7,10,0.911099910736084,148232.45239552116,0.31450492600463903,0.8849053382873535
PARE,0.05,8,10,0.9152776598930359,156951.83383006943,0.3068812752020752,0.8852766752243042
PARE,0.05,9,10,0.9099085330963135,146719.93004211818,0.31612226881620703,0.8850144147872925
SpaGCN,0.05,3,2,-0.010010783560574055,3.8491147649126947,1.2083392588794835,0.00010880235640797764
cellLens_Lite,0.1,0,8,0.2434597909450531,2728.270837362374,1.5150770589781501,0.7663551568984985
cellLens_Lite,0.1,1,7,0.20555715262889862,2585.177268837812,1.6560243963652241,0.7561129331588745
cellLens_Lite,0.1,2,8,0.24139896035194397,2718.00530837952,1.5263067729774815,0.7651227116584778
cellLens_Lite,0.1,3,8,0.28731223940849304,3249.678159248456,1.4558239493355178,0.7829685211181641
cellLens_Lite,0.1,4,8,0.24251586198806763,2725.1684772387266,1.5207315665093875,0.7645968198776245
cellLens_Lite,0.1,5,7,0.20687884092330933,2589.7510838521403,1.6592782369634054,0.757897675037384
cellLens_Lite,0.1,6,7,0.20719003677368164,2693.9491900892126,1.6360858928792648,0.7454707622528076
cellLens_Lite,0.1,7,8,0.2564273178577423,3020.704389187159,1.5197988331880712,0.7708383202552795
cellLens_Lite,0.1,8,7,0.20919673144817352,2706.195363337792,1.6309318955383758,0.7451971173286438
cellLens_Lite,0.1,9,8,0.25829124450683594,3029.4492157005925,1.5258936637251046,0.7734824419021606
cellLens_Full,0.1,0,7,0.4533909857273102,6619.459672958907,1.2894851705922754,0.7852081060409546
cellLens_Full,0.1,1,9,0.5542653203010559,8398.02113049075,1.0727142099913711,0.8192160725593567
cellLens_Full,0.1,2,9,0.5533981919288635,8261.40008332165,1.040641520785398,0.8191715478897095
cellLens_Full,0.1,3,10,0.5489903092384338,8000.936720567058,0.9686150935346276,0.8160178065299988
cellLens_Full,0.1,4,8,0.499617338180542,7383.049555237542,1.2396608238634022,0.8024965524673462
cellLens_Full,0.1,5,9,0.5286451578140259,7651.623945568538,1.0730129750886206,0.815308690071106
cellLens_Full,0.1,6,8,0.5144181251525879,7617.584315094812,1.12669877118527,0.8021799325942993
cellLens_Full,0.1,7,8,0.5001657605171204,7176.775710611386,1.1912384594375949,0.7940051555633545
cellLens_Full,0.1,8,8,0.48688673973083496,7215.675897565324,1.2471572538368125,0.8010803461074829
cellLens_Full,0.1,9,7,0.4450983703136444,6507.665567603909,1.3090038934330175,0.7984644174575806
PARE,0.1,0,10,0.9076152443885803,146267.63625649313,0.30985406486043177,0.8852925300598145
PARE,0.1,1,10,0.9141831398010254,155716.9460498323,0.3087672632622417,0.8853729963302612
PARE,0.1,2,10,0.9136756062507629,153693.89675816693,0.3085147112197523,0.8853879570960999
PARE,0.1,3,10,0.8981109261512756,130725.54505846092,0.3288897399472825,0.8849254846572876
PARE,0.1,4,10,0.9117372632026672,152057.5385627673,0.31168317755797287,0.8853086233139038
PARE,0.1,5,10,0.903884768486023,143991.78949924445,0.3251092440428184,0.8860309720039368
PARE,0.1,6,10,0.907220721244812,145817.12287895897,0.31271559443639846,0.8853312730789185
PARE,0.1,7,10,0.9027032852172852,142845.18026202507,0.3237791883613386,0.8858942985534668
PARE,0.1,8,10,0.9080383777618408,148460.97350834328,0.3217777279793207,0.8858470916748047
PARE,0.1,9,10,0.9055882096290588,145069.00797363019,0.3131606790631617,0.8854686617851257
cellLens_Lite,0.2,0,13,0.4874606728553772,4394.5266694120855,1.0420706206924304,0.8433517217636108
cellLens_Lite,0.2,1,17,0.5044466853141785,3556.5690664792423,1.0625372746799306,0.8446717858314514
cellLens_Lite,0.2,2,16,0.5050347447395325,3790.015272172709,1.2374502958927491,0.8476749658584595
cellLens_Lite,0.2,3,15,0.4929541051387787,3852.0875069004146,1.0284071761667752,0.8451372385025024
cellLens_Lite,0.2,4,16,0.49451249837875366,3667.008808036979,1.0864682194175048,0.8455110788345337
cellLens_Lite,0.2,5,13,0.42535313963890076,3534.0097250507406,1.2039780538226834,0.8272616863250732
cellLens_Lite,0.2,6,15,0.49244633316993713,3890.953810004116,1.1769823684115521,0.846246600151062
cellLens_Lite,0.2,7,14,0.4899125099182129,4103.814792312376,1.0320803840204473,0.8438585996627808
cellLens_Lite,0.2,8,16,0.5047088861465454,3774.855460898969,1.2307182657859441,0.845773458480835
cellLens_Lite,0.2,9,16,0.5004433393478394,3713.591963170735,1.0872859981854717,0.8463159203529358
cellLens_Full,0.2,0,10,0.5549103021621704,8267.20744661416,1.0760596858277984,0.8285685777664185
cellLens_Full,0.2,1,11,0.5650219321250916,7620.750034646167,1.1131425300135687,0.831539511680603
cellLens_Full,0.2,2,12,0.5766538977622986,7340.357944951312,1.0336822180990166,0.8352428078651428
cellLens_Full,0.2,3,13,0.5815261006355286,7163.059728198961,1.3195758956927375,0.8370813131332397
cellLens_Full,0.2,4,10,0.5578528642654419,8298.820919294778,1.0329985546642335,0.8322702646255493
cellLens_Full,0.2,5,12,0.5709519386291504,7323.554716398169,1.2282151476659873,0.8342890739440918
cellLens_Full,0.2,6,10,0.5407392978668213,7923.952724007583,1.0442861858731955,0.8293985724449158
cellLens_Full,0.2,7,12,0.5690778493881226,7228.7114296241,1.1800861198362078,0.83317631483078
cellLens_Full,0.2,8,12,0.57258540391922,7452.338048897597,1.4161207660116482,0.8357404470443726
cellLens_Full,0.2,9,9,0.5413852334022522,8747.124573749672,1.0426017234513605,0.8274429440498352
PARE,0.2,0,13,0.8403688669204712,115147.34664258869,0.5819439996086818,0.891995906829834
PARE,0.2,1,11,0.8509247899055481,113538.97175230061,0.6436834640155309,0.8912749290466309
PARE,0.2,2,13,0.8440272212028503,118901.57354192747,0.5816495769534453,0.892481803894043
PARE,0.2,3,11,0.8790707588195801,128218.8057238379,0.48200188708525,0.8877140879631042
PARE,0.2,4,12,0.8444430232048035,119666.67247963314,0.5696394399253433,0.8915025591850281
PARE,0.2,5,12,0.8543001413345337,127889.32798871853,0.5588094631253436,0.8919482827186584
PARE,0.2,6,12,0.828167200088501,115370.43426286175,0.6852098301045809,0.8958877325057983
PARE,0.2,7,13,0.8193372488021851,113792.19980379115,0.6821165336565171,0.8954882621765137
PARE,0.2,8,13,0.8529192209243774,120961.73719693148,0.5854273693305966,0.8926109075546265
PARE,0.2,9,14,0.819507896900177,121792.77570761826,0.65933968485003,0.8972049355506897
SpaGCN,0.2,0,2,0.045975469052791595,794.051463276761,2.5942560753674764,0.11725443601608276
SpaGCN,0.2,1,2,0.03933004289865494,729.3568524021217,2.3694164285148966,0.0962757021188736
SpaGCN,0.2,2,2,0.04700455442070961,812.0566011669457,2.579182882351594,0.11891238391399384
SpaGCN,0.2,3,2,0.07297113537788391,1073.9214851904258,3.6927977989060907,0.25243452191352844
SpaGCN,0.2,4,2,0.04689522832632065,810.8238131304099,2.5798018591236813,0.11880256235599518
SpaGCN,0.2,5,2,0.04576215520501137,786.2213798402294,2.621958986128587,0.11649075895547867
SpaGCN,0.2,6,2,0.04631355404853821,802.9142072139665,2.549755011903901,0.11554273962974548
SpaGCN,0.2,7,2,0.04036783054471016,747.7233988795617,2.365835641744622,0.0991906225681305
SpaGCN,0.2,8,2,0.045109689235687256,775.938497292084,2.5906157205669103,0.11287455260753632
SpaGCN,0.2,9,2,0.039457425475120544,734.6388176942505,2.355919694618743,0.09722098708152771
graphPCA_leiden,0.2,1,2,0.07187642902135849,1029.9565368546403,4.632304066210766,0.33749207854270935
graphPCA_leiden,0.2,2,2,0.07173369079828262,1028.2629738675269,4.6325695194580865,0.33732539415359497
graphPCA_leiden,0.2,3,2,0.02329142391681671,480.5176051711314,2.1002594299885438,0.05328571796417236
graphPCA_leiden,0.2,4,3,0.010520595125854015,545.719440975212,3.1082286817103397,0.17368635535240173
graphPCA_leiden,0.2,5,2,0.01715366169810295,380.99226469439697,1.7862919092595038,0.03863576799631119
graphPCA_leiden,0.2,6,2,0.07184209674596786,1029.1646121166852,4.640612983679479,0.33836543560028076
graphPCA_leiden,0.2,7,2,0.035142771899700165,667.6637312494438,2.306386839502691,0.08497431874275208
graphPCA_leiden,0.2,8,2,0.071515291929245,1024.2799202563144,4.661598472816143,0.3393065333366394
graphPCA_leiden,0.2,9,2,0.07184290885925293,1028.9161811942338,4.646637174703118,0.3384380638599396
cellLens_Lite,0.5,0,19,0.5175749063491821,3378.8176387002336,1.1351688675426892,0.8500334620475769
cellLens_Lite,0.5,1,18,0.5085937976837158,3453.1883975145424,1.08842248230152,0.8495688438415527
cellLens_Lite,0.5,2,19,0.5204175710678101,3380.778431560264,1.1337121765290925,0.8510055541992188
cellLens_Lite,0.5,3,19,0.5206472277641296,3384.5990661207898,1.1345960165518774,0.8504860997200012
cellLens_Lite,0.5,4,19,0.521985650062561,3399.5035523377296,1.133053046690693,0.8510203957557678
cellLens_Lite,0.5,5,18,0.5187669992446899,3555.127470102985,1.1790814674833496,0.8516252040863037
cellLens_Lite,0.5,6,19,0.5217941403388977,3398.2048887103642,1.1381520088875448,0.851269543170929
cellLens_Lite,0.5,7,17,0.5140621662139893,3688.458312790683,1.5109205041150526,0.8502823114395142
cellLens_Lite,0.5,8,19,0.5196536779403687,3373.2995491854313,1.1335205205717565,0.8507091403007507
cellLens_Lite,0.5,9,18,0.5175626277923584,3557.837445809763,1.3048272547828361,0.8510224223136902
cellLens_Full,0.5,0,15,0.504018247127533,6299.505570981652,1.4292410468036805,0.8417505025863647
cellLens_Full,0.5,1,16,0.4871223568916321,5584.923944456926,1.3111635718635282,0.8418878316879272
cellLens_Full,0.5,2,17,0.36790740489959717,5511.45579435173,1.5516366194361915,0.8245687484741211
cellLens_Full,0.5,3,18,0.38207754492759705,5072.756335862277,1.4298421315132295,0.8312380909919739
cellLens_Full,0.5,4,17,0.4879204034805298,5748.256197160058,1.2841262606072412,0.8424491882324219
cellLens_Full,0.5,5,15,0.49117571115493774,5872.255661750621,1.3697482179487415,0.838118314743042
cellLens_Full,0.5,6,15,0.37370043992996216,6172.689080829549,1.5433905023714616,0.8226658701896667
cellLens_Full,0.5,7,16,0.3451533615589142,5610.380755077692,1.4294126045831494,0.8285607099533081
cellLens_Full,0.5,8,17,0.4551960527896881,5876.138908443148,1.5439061995603143,0.8488912582397461
cellLens_Full,0.5,9,15,0.3761753439903259,6272.26437075048,1.5660165230820404,0.8246742486953735
PARE,0.5,0,17,0.7965778112411499,105582.63221657358,0.7693039229263868,0.8976902365684509
PARE,0.5,1,16,0.7974772453308105,111351.28857199984,0.8018451338552705,0.899773120880127
PARE,0.5,2,17,0.791176438331604,106898.75417982638,0.8916344333773177,0.8992989659309387
PARE,0.5,3,18,0.7504727840423584,102531.11846567034,1.0060240914971923,0.889301061630249
PARE,0.5,4,17,0.791553795337677,114911.53236167827,0.7714753581424715,0.89808589220047
PARE,0.5,5,17,0.7882870435714722,109116.69289299534,0.8857157646440582,0.8972790241241455
PARE,0.5,6,16,0.7878624796867371,110101.94270409079,0.8390919367837322,0.8997292518615723
PARE,0.5,7,18,0.7619502544403076,98947.79126186653,0.8831499527237648,0.8888751268386841
PARE,0.5,8,17,0.8022363781929016,108923.11023443543,0.8320538027850481,0.8985227942466736
PARE,0.5,9,18,0.7874667644500732,103156.12254219239,0.7732214094353335,0.8984955549240112
SpaGCN,0.5,0,6,0.05291442200541496,607.5984217355684,4.064123333081084,0.5474123954772949
SpaGCN,0.5,1,6,0.05307455360889435,609.5989804276477,4.0559592913465625,0.5476944446563721
SpaGCN,0.5,2,6,0.05300310254096985,609.2577146798936,4.0566892521214095,0.5479493141174316
SpaGCN,0.5,3,6,0.05297373980283737,608.3468855558116,4.060443428009756,0.5477815866470337
SpaGCN,0.5,4,6,0.052872028201818466,608.7372939943716,4.0571426781332915,0.5477246046066284
SpaGCN,0.5,5,6,0.052889276295900345,608.9684862409998,4.060206043459595,0.5475203394889832
SpaGCN,0.5,6,6,0.053129855543375015,609.0718293017005,4.0598632785082325,0.5481159090995789
SpaGCN,0.5,7,6,0.05301591753959656,608.755048645425,4.059402972321286,0.5478029251098633
SpaGCN,0.5,8,6,0.052933234721422195,609.6392888950094,4.055118208323869,0.547633945941925
SpaGCN,0.5,9,6,0.05297227203845978,607.895802107526,4.062567466872774,0.5477160215377808
graphPCA_leiden,0.5,0,6,0.0587025061249733,606.692844504522,4.049034382488776,0.5495473146438599
graphPCA_leiden,0.5,1,6,0.05922939255833626,609.2134827044027,4.043195233275284,0.5499748587608337
graphPCA_leiden,0.5,2,6,0.05890664458274841,607.6985032090898,4.044466428872613,0.5499097108840942
graphPCA_leiden,0.5,3,6,0.058658067137002945,606.7496530546683,4.047131896004095,0.5494994521141052
graphPCA_leiden,0.5,4,6,0.05828859657049179,606.9332822990514,4.08078604369913,0.5491176843643188
graphPCA_leiden,0.5,5,7,0.02464829944074154,518.1505822835715,3.752605542233082,0.5505610704421997
graphPCA_leiden,0.5,6,6,0.0592651441693306,609.4639142396572,4.041194131582733,0.5500507950782776
graphPCA_leiden,0.5,7,6,0.058615025132894516,606.5243758549686,4.0470581228600615,0.5493143200874329
graphPCA_leiden,0.5,8,9,-0.004668839275836945,459.6722787423684,3.44519175055561,0.5577842593193054
graphPCA_leiden,0.5,9,8,0.009136416018009186,513.2257776369989,3.6176826209717827,0.5570871829986572
cellLens_Lite,0.8,0,18,0.5106247663497925,3502.545956274514,1.197998348742281,0.8517869710922241
cellLens_Lite,0.8,1,20,0.43678173422813416,3277.6324430741547,1.3152800363189017,0.8508965969085693
