Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
cellLens_Lite,0.05,0,4,0.42152127623558044,8393.371077605578,1.2997587063864247,0.4309028089046478
cellLens_Lite,0.05,1,4,0.4229300916194916,8267.354556378445,1.3057049177082216,0.4400203227996826
cellLens_Lite,0.05,2,4,0.42345908284187317,7973.0670607857755,1.3658701349908595,0.4356902241706848
cellLens_Lite,0.05,3,5,0.3938163220882416,6528.794315019702,1.3263773333957842,0.4485046863555908
cellLens_Lite,0.05,4,4,0.4298926293849945,8418.61430311785,1.2888254380885127,0.4375055432319641
cellLens_Lite,0.05,5,3,0.4496588408946991,9807.879583308348,1.6099326946463286,0.4198157787322998
cellLens_Lite,0.05,6,4,0.42811471223831177,8482.41883676568,1.2887399230381187,0.4306972622871399
cellLens_Lite,0.05,7,4,0.4185861349105835,8087.059004106093,1.3823922350682238,0.43743687868118286
cellLens_Lite,0.05,8,4,0.4357905685901642,8395.604556293092,1.2574483101783593,0.4258677363395691
cellLens_Lite,0.05,9,6,0.3304976224899292,7139.30806258385,1.3905534348677089,0.6343891620635986
cellLens_Full,0.05,0,4,0.47676584124565125,9257.768781394014,1.0670486877266532,0.434480220079422
cellLens_Full,0.05,1,4,0.47320476174354553,9060.55934962466,1.0894469585890483,0.44082316756248474
cellLens_Full,0.05,2,5,0.3424854278564453,8790.105863559362,1.2874027163309403,0.5989665985107422
cellLens_Full,0.05,3,4,0.4611198902130127,9056.767775484004,1.1108434469080686,0.4410937428474426
cellLens_Full,0.05,4,4,0.4543602168560028,8971.965842850112,1.1256205265534303,0.4492999315261841
cellLens_Full,0.05,5,4,0.4631919860839844,9039.92660345669,1.0977071552243864,0.4436536729335785
cellLens_Full,0.05,6,4,0.45919856429100037,9003.768345855251,1.111006468057995,0.44709721207618713
cellLens_Full,0.05,7,4,0.4579203128814697,9072.854189754798,1.1268924627463621,0.4480263292789459
cellLens_Full,0.05,8,4,0.4490079879760742,8963.178989467428,1.150426549248969,0.45230358839035034
cellLens_Full,0.05,9,4,0.4521912634372711,9039.49112531391,1.13490424900862,0.4479803144931793
LassoARE,0.05,0,10,0.9135374426841736,152193.8068798271,0.3093886098733306,0.8851413726806641
LassoARE,0.05,1,10,0.9156854748725891,155652.52774770712,0.3097484071020148,0.8854026794433594
LassoARE,0.05,2,10,0.9128074645996094,151109.82619758692,0.3081917060741726,0.8852580189704895
LassoARE,0.05,3,10,0.9109215140342712,150961.8125071129,0.30926969956788686,0.885318398475647
LassoARE,0.05,4,10,0.909790575504303,146386.51953651014,0.3137194812435661,0.8849986791610718
LassoARE,0.05,5,10,0.9095661044120789,147838.92853175825,0.31345786154305677,0.8847087025642395
LassoARE,0.05,6,10,0.9111695289611816,148862.4416259792,0.31261748507605985,0.8851460218429565
LassoARE,0.05,7,10,0.911099910736084,148232.45239552116,0.31450492600463903,0.8849053382873535
LassoARE,0.05,8,10,0.9163122177124023,157189.79401975518,0.3025065819026231,0.8852341175079346
LassoARE,0.05,9,10,0.9112610220909119,148581.34281443644,0.3150722704817338,0.8850976228713989
SpaGCN_woRefine,0.05,0,3,0.31194496154785156,5542.07077705043,1.0520446974221929,0.2861107885837555
SpaGCN_woRefine,0.05,1,3,0.316360205411911,5712.546579946901,1.0693485247692367,0.2911977469921112
SpaGCN_woRefine,0.05,2,3,0.3124332129955292,5491.6149277223,1.041956540633657,0.2827359437942505
