Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
PARE_T,0.05,0,10,0.9112610220909119,148581.34281443644,0.3150722704817338,0.8850976228713989
PARE_T,0.05,1,10,0.9156854748725891,155652.52774770712,0.3097484071020148,0.8854027986526489
PARE_T,0.05,2,10,0.913610577583313,151960.1415909369,0.31008848451034254,0.8850915431976318
PARE_T,0.05,3,10,0.9134243726730347,151487.62288705955,0.31171907968847967,0.8851591348648071
PARE_T,0.05,4,10,0.909790575504303,146386.51953651014,0.3137194812435661,0.8849986791610718
PARE_T,0.05,5,10,0.9130701422691345,151033.3536131704,0.3118396095991082,0.8851397633552551
PARE_T,0.05,6,10,0.9111719727516174,148862.4416259792,0.31261748507605985,0.8851460814476013
PARE_T,0.05,7,10,0.9119679927825928,149198.77451349972,0.3127885807136795,0.8849295973777771
PARE_T,0.05,8,10,0.9152776598930359,156951.83383006943,0.3068812752020752,0.8852766752243042
PARE_T,0.05,9,10,0.9099085330963135,146719.93004211818,0.31612226881620703,0.8850144147872925
PARE_B,0.05,0,12,0.7953086495399475,55598.71987447928,0.41436146471966157,0.8986316919326782
PARE_B,0.05,1,12,0.7903046011924744,53009.74401971144,0.4176077209004416,0.8991872668266296
PARE_B,0.05,2,11,0.734815776348114,45713.94222254805,0.5499479055743559,0.8874104619026184
PARE_B,0.05,3,13,0.7377354502677917,59202.940934556165,0.5053235942397465,0.899938702583313
PARE_B,0.05,4,13,0.7551584243774414,60698.320362332604,0.49281716110846185,0.8992046117782593
PARE_B,0.05,5,13,0.7642720341682434,71195.09320130952,0.5261959257381726,0.9010800719261169
PARE_B,0.05,6,13,0.7677173018455505,70900.38352102294,0.5118776582713992,0.9002503156661987
PARE_B,0.05,7,11,0.7220462560653687,44861.03087220047,0.5513586704155974,0.8875636458396912
PARE_B,0.05,8,11,0.7116278409957886,43938.80087137896,0.55439494153334,0.8855613470077515
PARE_B,0.05,9,13,0.733284592628479,56896.15407548416,0.5039660847779944,0.89877849817276
SpaGCN,0.05,0,3,0.31194496154785156,5542.07077705043,1.0520446974221929,0.2861122190952301
SpaGCN,0.05,1,3,0.3159030079841614,5721.8026798747305,1.15657222282778,0.293888658285141
SpaGCN,0.05,2,3,0.3124332129955292,5491.6149277223,1.041956540633657,0.2827354073524475
SpaGCN,0.05,3,3,0.316348135471344,5652.950789595504,1.040321895781432,0.2874697148799896
SpaGCN,0.05,4,3,0.3140973448753357,5684.293729809046,1.0513390314589748,0.2914903163909912
SpaGCN,0.05,5,3,0.3122263550758362,5459.1730438630675,1.037626324734028,0.2804831266403198
SpaGCN,0.05,6,3,0.3163183033466339,5644.265745571499,1.0397052448789124,0.2871950566768646
SpaGCN,0.05,7,3,0.3158174157142639,5713.127787167096,1.1469949221018354,0.29326045513153076
SpaGCN,0.05,8,2,0.3427620530128479,8798.506954753626,1.0914858608637636,0.24351823329925537
SpaGCN,0.05,9,3,0.3160147964954376,5613.26107948,1.0362391281960632,0.28519606590270996
Recon_PARE,0.05,0,5,0.5135033130645752,23138.834180812093,1.2694703506938771,0.6210541129112244
Recon_PARE,0.05,1,4,0.5185655355453491,28635.64280825981,1.4427963228842235,0.6468576788902283
Recon_PARE,0.05,2,5,0.4469229280948639,21156.581069282438,0.8720818912783482,0.5870928764343262
Recon_PARE,0.05,3,5,0.5090317130088806,22330.71027716851,1.3234647967731665,0.6269648671150208
Recon_PARE,0.05,4,5,0.43106791377067566,20855.182416170886,0.9396535592444726,0.6111733317375183
Recon_PARE,0.05,5,4,0.5191909670829773,28197.54358583143,1.374849248093021,0.6414471864700317
Recon_PARE,0.05,6,5,0.5001097917556763,20960.836737204492,1.236773528050726,0.6230217218399048
