Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
scFoundation,0.05,0,2,0.2623741328716278,2345.2762587339607,1.328893927450487,0.023609038442373276
scFoundation,0.05,1,2,0.2618873715400696,2338.201792121057,1.3276228671419947,0.023532478138804436
scFoundation,0.05,6,2,0.2565075755119324,2293.7907012756173,1.325291449309516,0.0232589952647686
Recon_PARE,0.05,0,5,0.5601240396499634,88078.26367122418,0.8806932198532351,0.6710464954376221
Recon_PARE,0.05,1,5,0.5607144236564636,89087.60591702687,0.8842117073480698,0.6696643829345703
Recon_PARE,0.05,2,4,0.56369549036026,109172.89517877769,0.9034379256919924,0.6584782004356384
Recon_PARE,0.05,3,4,0.5611024498939514,108424.94696104321,0.90632480968233,0.6626710891723633
Recon_PARE,0.05,4,5,0.5667846202850342,88236.37347107794,0.8932575447747914,0.6718826293945312
Recon_PARE,0.05,5,3,0.2917819023132324,40344.99697308653,1.4363405929232638,0.5784377455711365
Recon_PARE,0.05,6,4,0.5660873651504517,108979.89614472317,0.901573578251524,0.660455584526062
Recon_PARE,0.05,7,4,0.5733897686004639,110193.59029892,0.903316767979971,0.6618796586990356
Recon_PARE,0.05,8,3,0.5089489221572876,88656.05172479639,0.8778087051270002,0.5403392910957336
Recon_PARE,0.05,9,4,0.5715374946594238,109208.62570426332,0.9058059405104126,0.664361834526062
scFoundation,0.1,0,3,0.20653149485588074,15410.715676996688,1.6612530526104532,0.4309060275554657
scFoundation,0.1,1,3,0.2116253525018692,15735.610031601276,1.6689954259502449,0.4376909136772156
scFoundation,0.1,2,3,0.20960170030593872,15721.397865396108,1.6568134252393316,0.43637633323669434
scFoundation,0.1,3,2,0.22507473826408386,26563.230382741574,1.9199066283467838,0.41602396965026855
scFoundation,0.1,4,3,0.20611901581287384,15385.486209439223,1.6635636625662664,0.4314211905002594
scFoundation,0.1,5,3,0.21137651801109314,15715.500598740673,1.670364403139162,0.43748489022254944
scFoundation,0.1,6,3,0.21213871240615845,15761.924148118913,1.6691435816592346,0.437004029750824
scFoundation,0.1,7,2,0.23262369632720947,27238.773865961797,1.9234759956809635,0.4219176173210144
scFoundation,0.1,8,3,0.2123892605304718,15770.86112391702,1.671972116792981,0.4378206133842468
scFoundation,0.1,9,3,0.21097737550735474,15845.662581430906,1.6592264101501282,0.4373462200164795
Recon_PARE,0.1,0,5,0.5840000510215759,91766.40315663429,0.9192466826874648,0.6755121946334839
Recon_PARE,0.1,1,5,0.5696629881858826,87025.29657989835,0.9371299596741691,0.6793131232261658
Recon_PARE,0.1,2,4,0.5529677271842957,103377.03475153871,0.9314848000553642,0.667283833026886
Recon_PARE,0.1,3,5,0.5738949775695801,87259.6738420462,0.9284897547346377,0.6790993213653564
Recon_PARE,0.1,4,4,0.5759937167167664,108235.31999261568,0.9043447913255652,0.6700533628463745
Recon_PARE,0.1,5,4,0.5772588849067688,110113.61662618796,0.9174046584915556,0.6662622690200806
Recon_PARE,0.1,6,5,0.5673103332519531,90600.04016488208,0.8982794802713077,0.6748771071434021
Recon_PARE,0.1,7,5,0.5665436387062073,86764.95985068305,0.91979586660399,0.6758008003234863
Recon_PARE,0.1,8,5,0.5630154013633728,87093.57924394881,0.8908375912593616,0.6773741245269775
Recon_PARE,0.1,9,5,0.5688124895095825,87022.41093147374,0.9353795862666867,0.679154098033905
scFoundation,0.2,0,5,0.22206418216228485,15374.497002279966,1.9146242869470687,0.5891361236572266
scFoundation,0.2,1,5,0.22442884743213654,15454.62344791178,1.9024357643360361,0.5893198251724243
scFoundation,0.2,2,4,0.27527347207069397,18742.212389658627,1.9388760236203804,0.553459107875824
scFoundation,0.2,3,5,0.10159969329833984,11658.577744104443,2.236306953836877,0.5709945559501648
scFoundation,0.2,4,4,0.24182887375354767,19352.71374801754,2.0190654620912354,0.58943110704422
scFoundation,0.2,5,4,0.20896965265274048,15064.769963960478,2.0520200546089926,0.5585956573486328
scFoundation,0.2,6,4,0.25022298097610474,18683.825960892325,1.998406916862833,0.5729579329490662
scFoundation,0.2,7,4,0.2465423345565796,19148.244768572546,2.0077029676016838,0.5848528146743774
scFoundation,0.2,8,3,0.1992257833480835,19017.436292880207,2.7458570685062202,0.5744198560714722
scFoundation,0.2,9,4,0.23687811195850372,19149.39434873661,2.101419933639937,0.5921221375465393
Recon_PARE,0.2,0,5,0.5174098014831543,89204.74776105037,1.6276779254578089,0.7153706550598145
Recon_PARE,0.2,1,6,0.48172128200531006,72179.99363541568,1.4937904141132234,0.7237745523452759
Recon_PARE,0.2,2,6,0.48355185985565186,73186.38114816188,1.5135765125212501,0.727497935295105
Recon_PARE,0.2,3,6,0.4884933829307556,72784.03988107642,1.528877024400079,0.7280334234237671
Recon_PARE,0.2,4,6,0.5036137700080872,76304.54834703752,1.4876626048141395,0.7178732752799988
Recon_PARE,0.2,5,5,0.5163622498512268,88706.09318769728,1.6265531061047518,0.7186843156814575
Recon_PARE,0.2,6,6,0.5028178691864014,72547.74004916234,1.5237365208913838,0.7225458025932312
Recon_PARE,0.2,7,5,0.4940578043460846,85118.58900894619,1.645945916608787,0.7228729724884033
Recon_PARE,0.2,8,5,0.5103064179420471,85592.85137610759,1.6411245125711638,0.7198190689086914
Recon_PARE,0.2,9,5,0.5038105249404907,83554.92677415546,1.6547044107928877,0.7207308411598206
scFoundation,0.5,0,8,0.07564938813447952,11099.416367873231,2.619364585087944,0.6977185606956482
scFoundation,0.5,1,12,0.07835107296705246,9136.159900948594,2.6818924770976995,0.7209442257881165
scFoundation,0.5,2,9,0.0665091797709465,10305.552668225568,2.5271306368022346,0.7082358598709106
scFoundation,0.5,3,9,0.06348578631877899,10385.52000354293,2.5367276666751346,0.7073767185211182
scFoundation,0.5,4,9,0.06399077922105789,10254.854795693673,2.530137928487808,0.7081725597381592
scFoundation,0.5,5,9,0.09126017987728119,10283.625827110549,2.365061290479013,0.6906435489654541
scFoundation,0.5,6,10,0.06531403958797455,9636.721213191355,2.5327433504895556,0.7150147557258606
scFoundation,0.5,7,9,0.06337989121675491,10256.208319686675,2.525517186763507,0.7083850502967834
scFoundation,0.5,8,11,0.0674891322851181,9232.444731013997,2.655231688705112,0.7214791774749756
scFoundation,0.5,9,9,0.05204061418771744,9811.82836977076,2.6198579080238567,0.7088528871536255
Recon_PARE,0.5,0,11,0.1805056780576706,44397.83140366728,1.8304084843696935,0.7917062044143677
Recon_PARE,0.5,1,14,0.18674518167972565,36994.124386627685,1.7332443644520183,0.7958043217658997
Recon_PARE,0.5,2,12,0.21314884722232819,43026.51775015077,1.7761050996244616,0.7971921563148499
Recon_PARE,0.5,3,12,0.20280799269676208,42159.86405487721,1.7800503866201687,0.7977490425109863
Recon_PARE,0.5,4,13,0.21580131351947784,41248.839927990186,1.7021084566371711,0.7975267767906189
Recon_PARE,0.5,5,14,0.18247979879379272,37296.29341672375,1.7367538719766562,0.7961307168006897
Recon_PARE,0.5,6,12,0.21217922866344452,43217.08608311149,1.7760423986264378,0.7981858253479004
Recon_PARE,0.5,7,12,0.2029460370540619,41891.85354978309,1.7760172077038774,0.7979904413223267
Recon_PARE,0.5,8,12,0.20077331364154816,41880.5537920682,1.7842827971773785,0.7977057695388794
Recon_PARE,0.5,9,13,0.2194637507200241,41228.913962910825,1.6995484146682505,0.7984414100646973
scFoundation,0.8,0,16,0.08540219068527222,7456.31824579629,2.517582920518075,0.7308580875396729
scFoundation,0.8,1,15,0.0830061063170433,7810.488018370806,2.491255227990421,0.7311118245124817
scFoundation,0.8,2,15,0.07761838287115097,7761.972888886779,2.5023965820845393,0.7321850061416626
scFoundation,0.8,3,18,0.06184906139969826,6830.457749299548,2.6335182354070152,0.7304677963256836
scFoundation,0.8,4,17,0.054095592349767685,6950.097266364797,2.5591524785323667,0.7300398945808411
