Method,Resolution,Seed,Number of Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score,Modularity Score
scVI,0.05,0,2,0.018398208543658257,1556.0517595529416,1.4228268191974258,0.026001036167144775
scVI,0.05,1,2,0.018078016117215157,1553.3607436071516,1.419943177236756,0.02595074474811554
scVI,0.05,2,2,0.018081650137901306,1554.1317149383087,1.4201670709674756,0.025957170873880386
scVI,0.05,3,2,0.018081868067383766,1545.4648243679403,1.4146173667203936,0.02576196938753128
scVI,0.05,4,2,0.018341543152928352,1554.1317149383087,1.4201670709674756,0.02596152201294899
scVI,0.05,5,2,0.017870716750621796,1547.9589716871008,1.4150531002774231,0.025810137391090393
scVI,0.05,6,2,0.018116142600774765,1547.1871580358254,1.4148260608965286,0.02579732984304428
scVI,0.05,7,2,0.018304891884326935,1551.9278340025205,1.4194189607331467,0.02591332606971264
scVI,0.05,8,2,0.01784289814531803,1549.838952115815,1.4160285501561474,0.02585558593273163
scVI,0.05,9,2,0.018341543152928352,1554.1317149383087,1.4201670709674756,0.025964323431253433
Recon_PARE,0.05,0,5,0.9452255964279175,949032.7159412488,0.25347781967284333,0.7941544055938721
Recon_PARE,0.05,1,5,0.945107638835907,967348.5805391645,0.25248086611684833,0.7941783666610718
Recon_PARE,0.05,2,6,0.7651360034942627,789484.9486370974,0.5916949250270104,0.7983680963516235
Recon_PARE,0.05,3,5,0.945911169052124,970321.3995661954,0.25342630685896744,0.7941906452178955
Recon_PARE,0.05,4,5,0.9491663575172424,1021892.9138024697,0.251869144388038,0.7941017746925354
Recon_PARE,0.05,5,5,0.9448627829551697,931369.5023543914,0.25499628426837045,0.7943571209907532
Recon_PARE,0.05,6,5,0.9463297128677368,972331.4947313075,0.25229274440812294,0.7942758202552795
Recon_PARE,0.05,7,5,0.9461850523948669,969947.2064074475,0.253954040476789,0.7940942645072937
Recon_PARE,0.05,8,5,0.9456684589385986,979910.508320175,0.2516825541029483,0.7943274974822998
Recon_PARE,0.05,9,5,0.945183515548706,958967.5770481488,0.25320331747937114,0.79392409324646
scVI,0.1,0,4,-0.028373485431075096,4499.923745312166,2.4594283492886024,0.37507209181785583
scVI,0.1,1,3,0.05014495924115181,7276.244753850038,2.847978296633793,0.46860310435295105
scVI,0.1,2,3,0.01922609657049179,7185.872982434285,2.322806959393654,0.3856023848056793
scVI,0.1,3,3,0.0203936118632555,7042.577574661727,2.6036544040564915,0.4653056859970093
scVI,0.1,4,2,0.14339469373226166,11834.565762138742,3.23253803369295,0.440347284078598
scVI,0.1,5,2,0.1073751226067543,7121.942241426473,3.2337321732350217,0.27974507212638855
scVI,0.1,6,3,0.019137518480420113,7184.703724588113,2.2789521885501967,0.37508395314216614
scVI,0.1,7,5,-0.0324261449277401,5081.524843155561,2.2755631806061776,0.5078703761100769
scVI,0.1,8,4,0.04379463195800781,6698.210572347188,2.5844212884593025,0.5048991441726685
scVI,0.1,9,3,0.019186364486813545,7027.356792553846,2.556887822191843,0.45249637961387634
Recon_PARE,0.1,0,6,0.7959492206573486,761023.4638616937,0.5799477389579658,0.7980639338493347
Recon_PARE,0.1,1,6,0.7729306817054749,773263.8593966472,0.5910087591673537,0.7984365224838257
Recon_PARE,0.1,2,6,0.828303873538971,808393.5016490123,0.5643698099897848,0.7980959415435791
Recon_PARE,0.1,3,7,0.7553011775016785,656657.972935358,0.7195745980370738,0.7995436191558838
Recon_PARE,0.1,4,5,0.9449548721313477,969759.2491773118,0.25222256970499707,0.7942978143692017
Recon_PARE,0.1,5,6,0.7749607563018799,769613.0318009277,0.5902806074816447,0.798384428024292
Recon_PARE,0.1,6,6,0.8061230778694153,829633.235505269,0.5762581258556959,0.7983399629592896
Recon_PARE,0.1,7,5,0.9426337480545044,922863.3504212935,0.2538566850872328,0.7942335605621338
Recon_PARE,0.1,8,6,0.8284680843353271,797507.3940489822,0.564621337346347,0.7981573343276978
Recon_PARE,0.1,9,6,0.8278924822807312,821801.4916172203,0.5700193710980676,0.7982425689697266
scVI,0.2,0,8,0.02861730009317398,6624.868432224176,2.198797171869419,0.7029500007629395
scVI,0.2,1,8,0.03589172661304474,6846.707355881881,2.152323662670817,0.708749532699585
scVI,0.2,2,8,0.001125961309298873,5818.781566568087,2.1372537319076823,0.6615065336227417
scVI,0.2,3,8,-0.002148781670257449,5637.505803797206,2.164307658324703,0.6732704639434814
scVI,0.2,4,7,0.0036343256942927837,6276.704882461075,2.2424685862390334,0.6571381092071533
scVI,0.2,5,8,0.07091715931892395,6961.1160209662185,2.3575927120466003,0.7242934107780457
scVI,0.2,6,9,0.023953955620527267,6071.144066036201,2.131732411928109,0.7158569693565369
scVI,0.2,7,8,0.042000554502010345,6112.8890351838745,2.2438662713588835,0.6913356781005859
scVI,0.2,8,7,0.016546281054615974,6552.068717647708,2.16173933953961,0.6676894426345825
scVI,0.2,9,7,0.03924934193491936,6513.030221737471,2.3404293934629763,0.6716336011886597
Recon_PARE,0.2,0,9,0.7156779766082764,511721.1021311849,0.7851962606313978,0.8015811443328857
Recon_PARE,0.2,1,8,0.765960693359375,584596.66395692,0.7220359310895035,0.8005548715591431
Recon_PARE,0.2,2,7,0.7917261123657227,637397.1001892325,0.6721651740625961,0.7989825010299683
Recon_PARE,0.2,3,9,0.7932919859886169,514910.1369125105,0.742788907967876,0.8019137382507324
Recon_PARE,0.2,4,8,0.75337815284729,560376.293715035,0.7392841102218352,0.8010311722755432
Recon_PARE,0.2,5,9,0.772101104259491,535653.8216200939,0.7504783399465252,0.8022286891937256
Recon_PARE,0.2,6,9,0.780947744846344,537231.0949226981,0.7294625611107651,0.8011480569839478
Recon_PARE,0.2,7,8,0.792815089225769,602203.3216834636,0.9510089112513411,0.8021370768547058
Recon_PARE,0.2,8,9,0.7688912749290466,525680.6341175939,0.7564885567366892,0.8022122979164124
Recon_PARE,0.2,9,8,0.7878769636154175,588229.9261926496,0.7369887090073292,0.8008307814598083
scVI,0.5,0,18,0.07181048393249512,5317.91818798391,2.1019595720040387,0.78351229429245
scVI,0.5,1,14,0.07926514744758606,5831.760282695725,2.081733407421179,0.7746906280517578
scVI,0.5,2,15,0.06961821019649506,5516.407727883975,2.2394426779830203,0.7784686088562012
scVI,0.5,3,17,0.06235009804368019,5271.907682808604,2.1147573688455097,0.7806395292282104
scVI,0.5,4,15,0.04485948383808136,5557.881680674008,2.0766570457058107,0.772880494594574
scVI,0.5,5,17,0.049686383455991745,5306.79008654101,2.03439216733363,0.7828339338302612
scVI,0.5,6,17,0.07996196299791336,5488.581854393353,2.1489409404484396,0.7811841368675232
scVI,0.5,7,15,0.052343256771564484,5606.739992650935,2.059584934457987,0.7727937698364258
scVI,0.5,8,16,0.08103149384260178,5415.191550760576,2.1608355027600874,0.7812360525131226
scVI,0.5,9,15,0.07992593199014664,5794.229097729228,2.1434498018943344,0.7782897353172302
Recon_PARE,0.5,0,15,0.27408653497695923,351528.48846805317,1.6253051384775712,0.83477783203125
Recon_PARE,0.5,1,13,0.2900879681110382,360800.53224003763,1.5795583483654694,0.822534441947937
Recon_PARE,0.5,2,15,0.3539447784423828,367964.44667428685,1.6972490902977209,0.8378666043281555
Recon_PARE,0.5,3,14,0.3780296742916107,380603.35285014234,1.5306212226247968,0.8267618417739868
Recon_PARE,0.5,4,16,0.22040212154388428,329379.28051101463,1.8676100179469115,0.8446770310401917
Recon_PARE,0.5,5,14,0.33120399713516235,389082.10501576547,1.5715771753571144,0.8297330141067505
Recon_PARE,0.5,6,14,0.2143237292766571,338563.7585746577,1.874516655892869,0.8389009237289429
Recon_PARE,0.5,7,15,0.28067123889923096,366774.528368197,1.6782072693362653,0.8328299522399902
Recon_PARE,0.5,8,15,0.29480254650115967,360894.0754885614,1.669786326705912,0.8347578048706055
Recon_PARE,0.5,9,15,0.28704771399497986,355164.7264073572,1.5064894394865047,0.8329871892929077
scVI,0.8,0,20,0.0727793276309967,5058.938489229258,2.1539008240343116,0.7841482758522034
scVI,0.8,1,23,0.07522320002317429,4802.208881966432,2.074772559789313,0.7874426245689392
scVI,0.8,2,21,0.09149209409952164,5159.225655704832,2.127694911244769,0.7875776290893555
